South Plains | Mesa CC
Mid-Michigan CC | Alpena CC
Lewis & Clark CC | Mid-South CC
N Iowa CC | Bay Col
Rock Valley | Bry & Strat-Milwaukee
Louisburg | CCBC Catonsville
Frederick CC | CC of RI
Gogebic CC | Cuyahoga CC
Delta Col | Kellogg CC
Des Moines CC | Southeast CC
IL Central | Ellsworth CC
Raritan Val | Erie CC
Fort Scott CC | Southwestern CC
Genesee CC | Corning CC
Brookdale CC | Howard CC MD
Morton | Illinois Val
Jamestown CC | Broome CC
Johnson Co | N Central MO
Kishwaukee CC | Harper
Montgomery-R | Lenoir CC
Lincoln Land | Moraine Val
Mercyhurst NE | Finger Lakes CC
Niagara Co | Lehigh Carbon
Owens CC | Oakland CC
Parkland | Southeastern CC
Potomac St-WVU | Hocking
Anne Arundel | Middlesex Co
Hudson Val | Cayuga CC
Fulton-Mont | Gloucester Co
Jefferson CC | Prince Georges
Passaic Co | Luzerne Co CC
Grayson Co JC | Panola
Fayetteville Tech | USC Salkehatchie
Lake Michigan | Henry Ford CC
Huntington | Aquinas
Benedictine KS | Ottawa KS
Clarke | Stephens
John Brown | Crowleys Ridge
Evangel | Park
IN Southeast | Fisk
Spring Arbor | Holy Cross IN
Indiana NW | Madonna
Jamestown | Mayville St
Viterbo | Judson IL
Mt Marty | Presentation
Northwestern IA | Valley City St
Paul Quinn | SW Assemb God
Wayland | Univ of Southwest
Pasadena City Col | Bakersfield Col
Santa Barbara City | Butte Col
Siskiyous | Cosumnes River
Moorpark | Cypress
San Diego Mesa | Gavilan
Col San Mateo | Modesto JC
Baker KS | St Mary KS
Bethel KS | Central Chr
Pikeville | Bluefield VA
Briar Cliff | Olivet Naz
Dickinson St ND | Calumet-St Jos
Marian IN | Cincinnati Chr
Columbia MO | Missouri Val
Cumberlands KY | Montreat
Dakota Wesleyan | Dakota St
Simpson CA | Eastern Oregon
Mt Mercy | Hannibal-Lagr
William Penn | Lyon
Warner | Mid Georgia
Morningside | St Xavier IL
Shawnee St | Point Park
Sterling | St Mary NE
Southern MD | Patrick Henry CC
Harcum Col | Manor
Sullivan Co | Mercer Co
Massasoit CC | Nassau CC
N Country CC | Monroe-Bronx
