Hutchinson CC | NE OK A&M
Indian Hills CC | Independence CC
Indian River | Santa Fe CC
South Plains | Jacksonville Col
Shawnee CC | Kankakee CC
Seward Co | Lamar CC
Otero JC | Laramie Co
SW MO St-WP | Lee TX
Moraine Val | Malcolm X
McLennan CC | Western Texas
Mineral Area | North Lake
New Mexico JC | NM Military
Eastern Utah | Northwest WY
Trinity Valley CC | Odessa
Sauk Valley CC | Olive-Harvey
Olney | Glen Oaks CC
Ranger | Phoenix Col
Triton Col | Daley
Snow Col | W Wyoming CC
Southeastern CC | Kirkwood CC
State Col Fla | Spartanburg Meth
Wabash Val | Three Rivers
Mid-Michigan CC | Alpena CC
Parkland | Mid-South CC
N Iowa CC | Bay Col
Prairie St | Black Hawk-M
Bry & Strat-Milwaukee | Rock Valley
Carl Sandburg | IL Central
Dakota Co Tech | Ellsworth CC
Des Moines CC | Southeast CC
Erie CC | Raritan Val
Frederick CC | Manor
Patrick Henry CC | Garrett
Genesee CC | Corning CC
Illinois Val | Morton
Jamestown CC | Broome CC
John Wood CC | N Central MO
Southwestern CC | Kansas City KS
Kishwaukee CC | Harper
Niagara Co | Lehigh Carbon
Oakland CC | Owens CC
S Suburban | Elgin CC
Westchester CC | Union Co
Bor Manhattan | Jefferson CC
Hostos CC | Bunker Hill CC
Hudson Val | Cayuga CC
Mass Bay CC | Kingsborough
Passaic Co | Luzerne Co CC
Grayson Co JC | Angelina
Bellevue | Tabor
Bethel IN | St Ambrose
Clarke | Waldorf
Coastal GA | Edward Waters
Evangel | Wm Woods
St Xavier IL | Huntington
Indiana Tech | Taylor IN
IN Wesleyan | MI Dearborn
Madonna | Indiana-East
WV Tech | Kentucky Chr
Mid-Am Chr | Univ of Southwest
Mt Marty | Presentation
Northwestern IA | Valley City St
Shawnee St | Northwestern OH
Queens NC | Wm Jewell
Antelope Val CC | Ventura Col
Butte Col | Sacramento City
Cabrillo | Shasta Col
Canada Col | Siskiyous
Gavilan | Chabot
Las Positas | Contra Costa
Copper Mtn | Grossmont
Cosumnes River | San Jose City Col
Col of the Desert | Victor Valley
Feather River | Solano CC
Lassen | Foothill Col
Moorpark | LA Valley Col
Col Marin | Skyline
Merced Col | Monterey Peninsula
Mt San Jacinto | Col of the Sequoias
Riverside CC | Pasadena City Col
San Joaquin Delta | Col of the Redwoods
San Bernardino Val | West LA Col
West Valley Col | Sierra Col
Allan Hancock | West Hills-Lemoore
Benedictine AZ | Life Pacific
Briar Cliff | Bethany KS
Calumet-St Jos | Brescia
Dakota Wesleyan | Dakota St
Dillard | Virgin Islands
Faulkner | Voorhees
Graceland | St Mary KS
IU Kokomo | Judson IL
Marian IN | Roosevelt
Menlo | Simpson CA
Spring Arbor | Ohio Chr
SW Assemb God | Texas Col
Trinity Chr | Silver Lake
Wiley | Southern N.O.
Fayetteville Tech | Broward CC
Howard Col | Lamar St
Sullivan Co | Mercer Co
Ave Maria | Pensacola Chr
Corban | W Coast Bap
Cornerstone | St Francis IN
John Brown | Ecclesia
Lincoln Col | Lindenwood-Belle
Milligan | Toccoa Falls
Oakwood | Washington Advt
McPherson | Bacone
Benedictine KS | Oklahoma S&A
Multnomah Bib | Cal Maritime
Grace IN | Cincinnati Chr
Concordia NE | Barclay
Culver-Stockton | Crowleys Ridge
TN Wesleyan | Fisk
Hastings | St Thomas FL
