Limestone | Lees-McRae
LSU | Mississippi St
Maryland | Nebraska
Sam Houston St | McNeese St
Siena Hts | Indiana Tech
Worcester Tech | Babson
Erskine | North Greenville
Lipscomb | North Florida
Abilene Chr | Lamar
Dean | Becker
Cal Lutheran | La Verne
Chatham | Thiel
FL Southern | Florida Tech
Muhlenberg | Haverford
MA Dartmouth | RI College
Northland | N Central MN
Nova SE | Rollins
Holy Cross | Army
Oregon | California
Keystone | Centenary NJ
NJ City | College of NJ
Colorado | UCLA
Villanova | Creighton
Dallas Bap | Rogers St
E Stroudsburg | Shippensburg
La Roche | Franciscan OH
ULM | Georgia St
Gettysburg | McDaniel Col
SF Austin | Houston Bap
Merchant Marine | Mt St Vincent
Mt Aloysius | Pitt-Greensburg
N Dakota St | North Dakota
Wm Paterson | Rowan
Utah | USC
WI Stevens Pt | WI Whitewater
Pace | American Intl
Barton | Belmont Abbey
Bridgeport | Mercy
Salem WV | Chowan
Indiana PA | Slippery Rock
Jacksonville | Kennesaw
New Haven | S Connecticut
SE Louisiana | TAM C. Christi
Clemson | Georgia Tech
Bucknell | Loyola MD
New Orleans | Northwestern LA
East Georgia Col | Albany Tech
Allegany MD | Prince Georges
S Georgia Tech | Andrew Col
Angelina | Lee TX
AZ Western | Mesa CC
ASA Miami | Palm Beach St
Baltimore City CC | Chesapeake
Barton Co | Pratt CC
Baton Rouge CC | Southern-Shreve
Blinn | Coastal Bend
Bossier Parish | Tyler JC
Broward CC | Indian River
Brunswick CC | USC Salkehatchie
Cape Fear CC | Clinton JC
Casper College | Gillette
C Arizona | Tohono Oodham
Cent Georgia Tech | S Georgia St
Pensacola St | Chipola
Coffeyville CC | Cowley Co
Collin Co | Hill Col
Columbia St | Dyersburg St
Daytona St | Florida St-Jax
E Florida St | Santa Fe CC
Laramie Co | Eastern Wyoming
FL Southwestern | Polk CC
Seward Co | Garden City CC
Gordon GA | So Crescent Tech
Hagerstown CC | Howard CC MD
Harford CC | Southern MD
St Petersburg | Hillsborough CC
Hutchinson CC | Northwest KS Tech
Neosho Co | Independence CC
Wabash Val | John Logan
Kaskaskia | Lake Land IL
Lake Region | Miles CC
Trinidad St JC | Lamar CC
Olney | Lewis & Clark CC
SW Illinois | Lincoln Trail
Ranger | McLennan CC
Navarro | Panola
Sheridan WY | Northwest WY
NW Florida St | Tallahassee CC
Trinity Valley CC | Paris JC
Southeastern CC | John Wood CC
Three Rivers | StL CC-Meramec
Triton Col | Milwaukee Tech
St Clair Co | Alpena CC
Catawba Val | Patrick Henry CC
Cecil Col | CCBC Catonsville
Phoenix Col | Chand-Gilbert
Columbus St CC | Clark St
CC Beaver Co | PA Highlands CC
Cuyahoga CC | Lorain Co CC
Danville CC IL | Lincoln Land
Louisburg | Davidson Co CC
Southwestern CC | Des Moines CC
Iowa Lakes CC | Ellsworth CC
Monroe CC | Erie CC
Fayetteville Tech | Lenoir CC
Highland CC KS | Fort Scott CC
Frederick CC | Montgomery-R
Genesee CC | Jamestown CC
Glendale AZ | South Mtn
Glen Oaks CC | Kalamazoo Val
Grand Rapids CC | Jackson CC
Guilford Tech CC | Wake Tech
Henry Ford CC | Oakland CC
Labette CC | Hesston
Parkland | IL Central
N Iowa CC | Iowa Cent
Kellogg CC | Lake Michigan
Lansing CC | Mid-Michigan CC
Schoolcraft | Macomb CC
McHenry Co | Morton
Niagara Co | Mercyhurst NE
Pima CC | Scottsdale CC
Pitt CC | Vance-Granville
Elgin CC | Prairie St
Sinclair CC | Owens CC
Madison Col | Wilbur Wright
Anoka Ramsey | MN West C&T
Brookhaven | Cedar Valley
Central Lakes | Mesabi Range
Hudson Val | Clinton CC (NY)
Corning CC | Tompkins Cortland
Eastfield Col | North Lake
Northland CTC | Itasca CC
Rock Valley | Joliet JC
MN St CTC | Ridgewater
Richland | Mtn View
Onondaga CC | Broome CC
W Georgia Tech | Oxford of Emory
Western Tech | Riverland CC
St Cloud Tech | Rochester C&T
Delgado CC | LSU-Eunice
Temple Col | Grayson Co JC
Lakeland CC | Bry & Strat-Cleveland
Benedictine KS | Baker KS
Dakota Wesleyan | Mt Marty
Dordt | Jamestown
Governors St | St Ambrose
York NE | Ottawa KS
Arcadia | Alvernia
Merrimack | Assumption
Barry | Embry-Riddle FL
Wesley DE | Cabrini
Emerson | Clark MA
Hilbert | Medaille
Kean | R Stockton
Lehman | Valley Forge
Mitchell | Lesley
Rosemont | Summit
Contra Costa | Alameda
Bakersfield Col | Santa Monica Col
Butte Col | Feather River
Cabrillo | Hartnell
City Col San Fran | Canada Col
Col of the Canyons | LA Pierce
Cerritos Col | LA Harbor
Fresno City Col | Cerro Coso
Chabot | Foothill Col
Chaffey | Pasadena City Col
Columbia CC | West Hills
El Camino-Compton | El Camino Col
Santiago Canyon | Copper Mtn
Riverside CC | Cypress
West Valley Col | De Anza Col
East LA Col | LA Trade-Tech
Fullerton Col | Irvine Valley
Long Beach City Col | LA Southwest
Las Positas | Ohlone
Los Medanos | Merritt
Yuba | Col Marin
Mendocino | Napa Valley CC
Monterey Peninsula | San Jose City Col
Mt San Antonio | Rio Hondo
Santa Ana Col | Orange Coast
Col of the Sequoias | Porterville
Merced Col | West Hills-Lemoore
Wilson | Bryn Athyn
Allen | Montreat
Bluefield VA | TN Wesleyan
Briar Cliff | Northwestern IA
Calumet-St Jos | IN S Bend
Cent Methodist | Clarke
Lourdes | Concordia MI
Morningside | Concordia NE
Grand View | Graceland
Mt Mercy | Missouri Val
OK Wesleyan | Sterling
Roosevelt | St Xavier IL
Shawnee CC | SE Illinois
Edison CC | Hocking
Col of Dupage | Harper
Vermilion CC | Fond du Lac T&CC
Lake Superior CC | Rainy River CC
Catawba | Wingate
IL Tech | Edgewood
Lakeland | Aurora
Lincoln Mem | Anderson SC
Macalester | Carleton MN
Marian WI | Dominican IL
Carroll WI | Carthage
Gwynedd-Mercy | Immaculata
Neumann | Marywood
Buena Vista | Central IA
Thomas Aquinas | NYIT
Sarah Lawrence | Mt St Mary NY
St Johns MN | Concordia Mhd
Drew | Susquehanna
Benedictine IL | Milwaukee Eng
Alma | Olivet MI
Lynchburg | Ferrum
Westfield St | Framingham St
St Anselm | Franklin Pierce
Augsburg | Gust Adolphus
Purchase | NY Maritime
Crown MN | Bethany Luth
Bethany WV | St Vincent
MacMurray | Iowa Wesleyan
Keene St | W Connecticut
Wartburg | Luther IA
Scranton | Moravian
Bethel MN | St Marys MN
St Thomas MN | St Olaf
Salem MA | Bridgewater MA
Oakland City | East-West
SUNY-Delhi | Cazenovia
Berkeley NYC | New Rochelle
Virginia Union | Piedmont Bap
Evangel | Culver-Stockton
Trinity IL | Judson IL
Olivet Naz | Card Stritch
Ottawa AZ | SAGU Amer Ind
Madonna | Northwestern OH
Grace IN | St Francis IN
Holy Cross IN | R Morris Chi
Avila | Southwestern KS
Union KY | Columbia Intl
Trinity Chr | St Francis IL
SW Tennessee | Jackson St CC
KS Wesleyan | Bethel KS
North Idaho | Big Bend CC
Centralia Col | Grays Harbor
Chemekata CC | Mt Hood CC
Portland CC | Clark CC
Wenatchee Val CC | Columbia Basin
Edmonds CC | Shoreline CC
Everett CC | Skagit Val CC
Green River CC | Lower Columbia
Lane CC | SW Oregon CC
Umpqua CC | Linn-Benton CC
Whatcom CC | Olympic
Tacoma CC | Pierce CC
Walla Walla CC | Spokane CC
Treasure Val CC | Yakima Val CC
Holland | Mt Allison
Stratford | Mid-Atlantic Chr
Bry & Strat-VB | Richard Bland
Haskell | N New Mexico
Indian Hills CC | Northeast CC
Oxnard | Santa Barbara City
Cornerstone | MI Dearborn
Lincoln Col | Wm Woods
Truett-McConnell | St Andrews
MS Vincent NS | Dalhousie Ag
Bry & Strat-Greece | Albany Pharmacy
Villa Maria | Bry & Strat-Buffalo
Keuka | SUNY-Cobleskill
Hanover | Earlham
Mercyhurst | Clarion
Ancilla | Muskegon CC
Great Lakes Chr | Grace Chr
Johnson TN | Bryan
Nebraska Chr | Doane
PSU-Shenango | PSU-DuBois
PSU-Gtr Allegheny | PSU-Beaver
PSU-Lehigh Val | PSU York
PSU-Fayette | PSU-New Kens
PSU-Schuylkill | PSU-Hazleton
PSU Wilkes-Barre | PSU-Scranton
Bethesda | Portland Bible
Five Towns | Pratt Inst
S Maine Tech | C Maine Tech
St Fran Xavier | Acadia
Carson-Newman | Mars Hill
St Martins | AK Fairbanks
West Alabama | AL Huntsville
Texas St | Appalachian St
Newman | Arkansas-FS
Ouachita | Arkansas Tech
Ark Little Rock | Troy
Ark Monticello | Harding
Ashland | Ferris St
Auburn Mgomery | Mississippi Col
Austin Peay | SIUE
E Texas Bap | Belhaven MS
Lewis | Bellarmine
Belmont | E Kentucky
CSU East Bay | Cal St-LA
TX A&M Commerce | Cameron
High Point | Campbell
MTSU | Charlotte
Chr Brothers | Delta St
Claflin | W Salem St
WI Green Bay | Cleveland St
Col Charleston | Delaware
Wheeling Jesuit | Concord
CS Dom. Hills | CS Monterey Bay
CS Stanislaus | Humboldt St
W Washington | C Washington
Davenport | WI Parkside
Walsh | Davis & Elkins
N Kentucky | Detroit
Drexel | UNC Wilmington
Drury | Maryville MO
Murray St | E Illinois
Hofstra | Elon
Emporia St | SW Baptist
E New Mexico | Permian Basin
Montana St | E Washington
Fairmont St | Urbana
FL Atlantic | UTEP
UT San Antonio | Florida Intl
Fort Hays St | Pittsburg St
Glenville St | WV State
Gonzaga | San Francisco
UTRGV | Grand Canyon
Radford | Hampton
Howard Payne | McMurry
Montana | Idaho
Idaho St | Northern Arizona
Rockhurst | IL Springfield
Iowa | Indiana
S Indiana | Indianapolis
John Brown | Wayland
OH Dominican | Lake Erie
LIU Brooklyn | Mt St Marys
McKendree | Wm Jewell
Northwood MI | Michigan Tech
Tarleton St | Midwest TX St
MO St Louis | Missouri S&T
Monmouth NJ | St Peters
MO Southern | NE Kearney
N Colorado | Portland St
N Michigan | Saginaw Val
Northeastern | William & Mary
Simon Fraser | NW Nazarene
Southern Nazarene | NW Oklahoma St
SE Oklahoma | OK Baptist
Oklahoma Chr | St Edwards
Southern Utah | Weber St
St Francis NY | Wagner
Yeshiva | St Josephs NY
St Thomas FL | Warner
Trevecca Naz | Tiffin
UT Dallas | Univ Ozarks
West Liberty | UVA-Wise
Youngstown St | WI Milwaukee
W Texas A&M | W New Mexico
UC Davis | Cal Poly
Oral Roberts | Denver
TN Martin | Jacksonville St
Robert Morris | Bryant
Sacred Heart | F Dickinson
Hawaii | Long Beach St
San Diego | Loy Marymount
North Texas | Marshall
Wright St | Oakland
Santa Clara | Pepperdine
WKU | Rice
UNC Greensboro | Samford
SE Missouri St | Tennessee Tech
Seattle Pacific | AK Anchorage
South Alabama | Arkansas St
Chattanooga | VMI
CS Poly Pomona | UC San Diego
Dist Columbia | LIU Post
Furman | W Carolina
Old Dominion | UAB
Presbyterian | UNC Asheville
South Florida | SMU
Wofford | ETSU
Tennessee St | Morehead St
Cedarville | KY Wesleyan
Holy Names | Concordia CA
New Mexico St | CS Bakersfield
Gardner Webb | Longwood
Purdue Northwest | Grand Valley St
NW Missouri | Lindenwood
Washington | Arizona
Washington St | Arizona St
Winthrop | Charleston So
Cincinnati | Memphis
Lee TN | Montevallo
Miles | Spring Hill
Stanford | Oregon St
Valdosta St | West Georgia
Malone | Ald-Broaddus
Baruch | Hunter
CS San Bern. | CS San Marcos
Hardin-Simmons | Sul Ross
Le Tourneau | Louisiana Col
St Francis PA | Central Conn
Ohio St | Penn St
Houston | UCF
PFW | W Illinois
UT Arlington | Coastal Car
NE Omaha | South Dakota
Cal Baptist | Chicago St
BYU | Portland
St Marys CA | Pacific
Coastal GA | Southeastern FL
Shawnee St | Cumberland TN
Williston St | Bismarck St
Butler Co-KS | Cloud Co
Clarendon | Western Texas
E Mississippi CC | Coahoma CC
Cochise | Eastern Arizona
Colby CC | Dodge City CC
Southern Idaho | Eastern Utah
East Central CC | Copiah-Lincoln
Midland TX | Frank Phillips
Hinds CC | Meridian CC
Holmes CC | MS Delta
South Plains | Howard Col
Jacksonville Col | Lamar St
MS Gulf Coast | SW Mississippi
Murray St CC | W Oklahoma St
Odessa | NM Military
NE MS CC | NW Mississippi
Sauk Valley CC | Black Hawk-M
Morton | Lake Co
Dakota-Bottineau | United Tribes
Mercer Co | Essex CC
Illinois Val | Kishwaukee CC
Lackawanna | Raritan Val
Moraine Val | McHenry Co
Elgin CC | Oakton CC
Waubonsee CC | Prairie St
Sinclair CC | Columbus St CC
Bristol CC | B Franklin Tech
Hostos CC | Bronx CC
Bunker Hill CC | Holyoke CC
Camden Co | Val Forge Mil
Cayuga CC | Jefferson CC
Mohawk Val | Columbia Greene
Gloucester Co | Philadelphia CC
Delaware Co CC | Luzerne Co CC
Gateway CC | Mass Bay CC
Middlesex Co | Lehigh Carbon
Massasoit CC | UConn-AP
Passaic Co | Monroe-Bronx
Suffolk Co-Selden | Nassau CC
Northampton CC | Sussex Co CC
N Essex CC | Quinsigamond
Jones Co CC | Pearl River CC
Martin Meth | Blue Mtn
Carroll MT | MT Western
Freed-Hardeman | Central Bap
Mid-Am Chr | Central Chr
Webber | FL Memorial
Lewis-Clark ID | Rocky Mtn
LSU-Alexandria | Our Lady Lake
Lyon | Williams Bap
OK City | SW Assemb God
Henderson St | S Arkansas
Point Loma | Notre Dame CA
West Florida | Shorter
Lincoln MO | MO Western
Benedictine AZ | Antelope Val
Ave Maria | Thomas GA
Dalton St | Bethel TN
IN Southeast | Brescia
UC Merced | Cal Maritime
Columbia MO | Harris-Stowe
Faulkner | Loyola NO
Stillman | Florida Col
Georgetown KY | Life
Hannibal-Lagr | St Louis Pharm
Pikeville | Lindsey Wilson
LSU Shreveport | Univ of Southwest
Wm Carey | Mid Georgia
Voorhees | Morris SC
Simpson CA | Pacific Union
Reinhardt | Point
TX Wesleyan | SW Christian
Manor | DE Tech CC
Westchester CC | Orange Co
Charleston WV | WV Wesleyan
Notre Dame OH | Shepherd
Lubbock Chr | St Marys TX
Concordia OR | MT St-Billings
Lake Superior | Wayne St MI
East Central OK | SW Oklahoma
Ohio Valley | Kentucky Chr
Westmont | Life Pacific
MO Baptist | Lindenwood-Belle
Panhandle St | Bacone
Mobile | Brewton-Parker
Embry-Riddle AZ | La Sierra
Oklahoma S&A | Langston
Sullivan Co | Ulster Co
Sprfld Tech CC | Quincy CC
Tougaloo | Crowleys Ridge
Centennial Col | Fleming
Humber | Niagara ON
ME Ft Kent | ME Machias
Snow Col | Colorado NW
Illinois Col | Cornell IA
Ocean Co | Bucks Co CC
Tufts | Lasell
Felician | Holy Family
Hilbert | Pitt-Bradford
Montgomery Co CC | Harrisburg Area CC
Dominican NY | Wilmington DE
JC Smith | St Augustines
Friends | Bethany KS
The Masters | Hope Intl
Bry & Strat-Buffalo | Bry & Strat-Greece
State Col Fla | FL Gateway
Mid-Atlantic Chr | Apprentice
Connors St | Eastern OK St
Berkeley NYC | Albany Pharmacy
Fraser Val | Northern BC
Vaughn | Kings NY
NH Tech | ME Augusta
Davis | PSU-Scranton
Green Mtn | St Joseph VT
Rhema Bib | SW Adventist
UQAM | McGill
Winnipeg | Manitoba
Academy of Art | Hawaii Hilo
Akron | Kent
Rensselaer | Bard
Trinity CT | Bates
Berry | Sewanee
Birmingham So | Rhodes
Black Hills St | CSU-Pueblo
Brandeis | Carnegie Mellon
Covenant | Brevard
Penn | Brown
SUNY New Paltz | Buffalo St
NYU | Case Western
Colorado Mines | Chadron St
Rochester NY | Chicago
Ft Lewis | Colorado Chr
Col Springs | Metro St
Harvard | Columbia
Corban | Southern Oregon
Plattsburgh St | Cortland St
TX Lutheran | Dallas Univ
Dixie St | Western St CO
Emory | Washington StL
Whitman | George Fox
Millsaps | Hendrix
Skidmore | Hobart & Smith
Russell Sage | Houghton
Thomas ME | Husson
Quinnipiac | Iona
Puget Sound | Lewis & Clark
Marist | Niagara
Mary ND | Upper Iowa
Minot St | Winona St
MN Crookston | MN Mankato
Moorhead St | SW Minnesota
MT St Northern | MT Tech
St John Fisher | Nazareth
NM Highlands | S Dakota Tech
Oregon Tech | Northwest Chr
Oswego St | SUNY Potsdam
Pacific OR | Pac Lutheran
St Cloud | Wayne St NE
SUNY Oneonta | SUNY Fredonia
Canisius | Rider
Cornell | Dartmouth
Siena | Manhattan
Yale | Princeton
St Josephs PA | St Louis
Bemidji St | Concordia SP
Utica | Elmira
Whitworth | Linfield
Alfred | Stevens Tech
Chaminade | Dominican CA
Colby | Wesleyan CT
Middlebury | Hamilton
Bowdoin | CT College
Eastern Oregon | Warner Pacific
ND St Science | Dawson CC
Northeastern JC | McCook CC
Motlow St | Roane St
N OK-Tonkawa | N OK-Enid
North Platte CC | Cent CC-Columbus
Seminole St | Redlands CC
Muskegon CC | Grand Rapids CC
Central Lakes | Hibbing CC
Northland CTC | Fond du Lac T&CC
Itasca CC | Vermilion CC
Rainy River CC | Mesabi Range
Mayville St | Waldorf
Washington Advt | Silver Lake
Valley City St | Viterbo
Amherst | Williams
ULM | Ga Southern
Louisiana | Georgia St
Piedmont | Greensboro
ME Presque Isle | Johnson St
Yuba | Alameda
American River | Modesto JC
Gavilan | Cabrillo
Canada Col | Foothill Col
Long Beach City Col | Cerritos Col
Las Positas | Chabot
Chaffey | East LA Col
LA Southwest | El Camino-Compton
Contra Costa | Mendocino
Cypress | Copper Mtn
Santa Rosa JC | Cosumnes River
Southwestern CA | Cuyamaca
Col of the Desert | Palomar Col
Sacramento City | Diablo Val
LA Harbor | El Camino Col
San Joaquin Delta | Folsom Lake
Fullerton Col | Santa Ana Col
SD City Col | Grossmont
Hartnell | San Jose City Col
San Diego Mesa | Imperial Val
Saddleback | Irvine Valley
Mt San Antonio | LA Trade-Tech
Los Medanos | Col Marin
Merritt | Solano CC
Mt San Jacinto | MiraCosta
Skyline | Ohlone
Pasadena City Col | Rio Hondo
Santiago Canyon | Riverside CC
San Bernardino Val | Miramar CC
Dickinson St ND | Bellevue
Presentation | Dakota St
Wiley | Huston-Tillot
Mesa St | Westminster UT
Centenary | Colorado Col
Northern St SD | Sioux Falls
Centre | Oglethorpe
Ithaca | Clarkson
J&W CO | Austin Col
Roberts Wslyn | Queens NY
Daemen | Molloy
MN Duluth | Augustana SD
City Col NY | Brooklyn Col
Adams St | Regis CO
Vassar | Rochester Tech
Union NY | St Lawrence
Newberry | Piedmont Bap
SUNY Canton | Lyndon St
Indiana NW | Lincoln Chr
St Thomas TX | Jarvis Chr
ME Farmington | ME Maritime
Seneca | Georgian
St Clair | Fanshawe
Mohawk | Sheridan ON
Vancouver Island | Langara
Capilano | Columbia Bib
S Alberta Tech | Ambrose
Red Deer | Olds
Augustana AB | Kings AB
Concordia AB | Keyano
Grande Prairie | N Alberta Tech
Okanagan Col | Camosun
St Marys NS | Cape Breton
Carleton ON | York ON
Guelph | Windsor
Laurentian | Toronto
Ryerson | Nipissing
Queens ON | Ottawa ON
Potomac St-WVU | CC Allegheny-B
Allegany MD | Montgomery-R
Col of Idaho | Multnomah Bib
Chesapeake | Garrett
Harford CC | CCBC-Dundalk
Mid-Michigan CC | Jackson CC
Williston St | Lake Region
Madison Col | Harper
New Rochelle | Five Towns
Bry & Strat-Buffalo | Bry & Strat-Albany
Walters St | Volunteer St
Monterey Peninsula | West Valley Col
Algoma | McMaster
St Lawrence ON | Algonquin
Arlington Bap | Rhema Bib
Calvary Bib | Barclay
C Maine Tech | Hampshire
Ed Montpetit | St Lambert
Montmorency | Sainte-Foy
C Chr Bible | Faith Bap
Johnson FL | Trinity FL
Laurier | Lakehead
Bishops | Laval
Univ Lethbridge | Victoria
John Abbott | Outaouais
PSU-Beaver | PSU-Hazleton
PSU-Lehigh Val | PSU-Brandywine
PSU-Fayette | PSU-Schuylkill
Trinity Bap | Pensacola Chr
SUNY-Delhi | Pratt Inst
Regina | Mt Royal
Brescia | Simmons KY
AFLBC | Trinity Bib
Vanier | Dawson
Clinton College | Warren Wilson
Providence MB | Canadian Menn
Sisseton Wahpeton | Turtle Mtn CC
Northern BC | Winnipeg
Adrian | Olivet MI
Ark Pine Bluff | Alabama St
Trine | Albion
Albright | Messiah
Walsh | Ald-Broaddus
Alfred | Russell Sage
AL Huntsville | Montevallo
Le Moyne | American Intl
Amherst | Middlebury
Anderson IN | Bluffton
J&W RI | Anna Maria
Arizona Chr | Ottawa AZ
Dallas Bap | Arkansas-FS
Ark Little Rock | South Alabama
Ark Monticello | Henderson St
Lake Superior | Ashland
Bentley | Assumption
Delta St | Auburn Mgomery
Augusta | Columbus St
Augustana IL | Millikin
Augustana SD | St Cloud
Austin Peay | E Illinois
Peace | Averett
Azusa Pacific | Fresno Pacific
Capital | Baldwin-Wallace
Ball St | W Michigan
Hobart & Smith | Bard
Barton | S Wesleyan
Le Tourneau | Belhaven MS
Indianapolis | Bellarmine
Belmont | Morehead St
LaGrange | Berea
Bethany Luth | WI Superior
Bethune-Cookman | Norfolk St
Binghamton | New Hampshire
Webster Univ | Blackburn
Black Hills St | NM Highlands
Lock Haven | Bloomsburg
Syracuse | Boston College
Bucknell | Boston Univ
Bowie St | Lincoln PA
Toledo | Bowling Green
Bradley | Indiana St
Bridgewater MA | Framingham St
Guilford | Bridgewater VA
Geneseo St | Brockport St
Brown | Princeton
Buffalo | C Michigan
SUNY Oneonta | Buffalo St
Butler | Georgetown
Rosemont | Cairn
Caldwell | Chestnut Hill
Cal St-LA | CS Monterey Bay
Claremont M.S. | Caltech
Kalamazoo | Calvin
Tarleton St | Cameron
Campbellsville | Life
Carson-Newman | Coker
Carthage | North Park
Catawba | Mars Hill
Cazenovia | PSU-Berks
Col Springs | Chadron St
Redlands | Chapman
Charleston So | UNC Asheville
Charlotte | UAB
Chatham | Geneva
Millersville | Cheyney St
Chris Newport | Frostburg St
Citadel | Mercer
Clarion | Pitt-Johnstown
Coast Guard | Clark MA
Francis Marion | Clayton St
Cleveland St | WI Milwaukee
C Missouri | Emporia St
Loras | Coe
Colby | CT College
Col Charleston | Drexel
Col of Idaho | Warner Pacific
Colorado Mines | Metro St
West Liberty | Concord
Concordia IL | Dominican IL
Concordia NY | Univ Sciences
MN Crookston | Concordia SP
Concordia WI | Milwaukee Eng
Corban | Oregon Tech
Cornell | Harvard
Cortland St | SUNY Potsdam
Covenant | Piedmont
CS Chico | CS Stanislaus
CSU East Bay | CS Dom. Hills
N Colorado | CS Sacramento
S Dakota Tech | CSU-Pueblo
Wentworth Tech | Curry
Simon Fraser | C Washington
Massachusetts | Davidson
Transylvania | Defiance
Delaware | UNC Wilmington
Ohio Wesleyan | DePauw
DeSales | Misericordia
Wright St | Detroit
Dixie St | Mesa St
Drake | Northern Iowa
Drew | Elizabethtown
Drury | MO St Louis
DYouville | PSU-Altoona
Eastern Univ | Manhattanville
Edgewood | Rockford
IL Wesleyan | Elmhurst
Northeastern | Elon
FL Southern | Embry-Riddle FL
E Mennonite | Hampden-Sydney
E Michigan | N Illinois
Mt Olive | Emmanuel GA
Newbury | E Nazarene
E New Mexico | W New Mexico
Eureka | Fontbonne
S Illinois | Evansville
Montana | E Washington
Monmouth NJ | Fairfield
Farmingdale | St Josephs NY
F Dickinson | St Francis NY
Felician | Wilmington DE
Findlay | Hillsdale
Fitchburg St | Worcester St
Lander | Flagler
UT San Antonio | FL Atlantic
UTEP | Florida Intl
MO Southern | Fort Hays St
Hilbert | Franciscan OH
Franklin IN | Mt St Joseph
Regis CO | Ft Lewis
Gallaudet | Keuka
Indiana PA | Gannon
Whitworth | George Fox
NC Pembroke | Georgia C&S
Georgia SW | Young Harris
Goldey Beacom | Post
Gonzaga | St Marys CA
Moravian | Goucher
New Mexico St | Grand Canyon
WI Parkside | Grand Valley St
Richmond | G Washington
Wesley DE | Gwynedd-Mercy
Ouachita | Harding
Hardin-Simmons | Howard Payne
Haverford | McDaniel Col
UC Irvine | Hawaii
Mt Union | Heidelberg
Radford | High Point
Oberlin | Hiram
Hofstra | William & Mary
Lycoming | Hood
Huntingdon | Maryville TN
Husson | ME Farmington
Montana St | Idaho
Illinois | Rutgers
Lake Forest | Illinois Col
Wm Jewell | IL Springfield
TAM C. Christi | Incarnate Word
Jacksonville St | SE Missouri St
Towson | James Madison
Panhandle St | John Brown
John Carroll | Ohio Northern
Scranton | Juniata
Keiser | J&W FL
Kansas | Oklahoma St
Kentucky | Mississippi St
Wabash | Kenyon
Keystone | Summit
Wilkes | Kings PA
West Chester | Kutztown
Tiffin | KY Wesleyan
Lake Erie | Ohio Valley
UC Santa Cruz | La Verne
Lewis | S Indiana
Pac Lutheran | Lewis & Clark
Lincoln Mem | Wingate
Wagner | LIU Brooklyn
Lubbock Chr | Texas A&M Intl
Maranatha Bap | Luther MN
Lynchburg | Shenandoah
Spalding | MacMurray
Stony Brook | MA Lowell
Wilmington OH | Marietta
Winona St | Mary ND
Mary Washington | PSU-Harrisburg
Rockhurst | McKendree
North Carolina | Miami FL
Michigan | Wisconsin
Saginaw Val | Michigan Tech
TX A&M Commerce | Midwest TX St
Minot St | Upper Iowa
Union TN | Mississippi Col
Texas A&M | Missouri
Springfield | MIT
MN Morris | N Central MN
Monmouth IL | Ripon
Moorhead St | Sioux Falls
Morrisville St | Penn Col Tech
W Oregon | MT St-Billings
Mt St Vincent | Old Westbury
Providence GF | MT Tech
Murray St | SIUE
Muskingum | Otterbein
Nazareth | Utica
NC State | Pittsburgh
Pfeiffer | NC Wesleyan
NE Kearney | Pittsburg St
NE Wesleyan | Wartburg
St Edwards | Newman
Nichols | U New England
N Michigan | Northwood MI
North Florida | North Alabama
Weber St | Northern Arizona
SC Aiken | North Georgia
Southern Oregon | Northwest Chr
St Josephs ME | Norwich
NW Nazarene | W Washington
Occidental | Whittier
OK Baptist | SW Oklahoma
Plattsburgh St | Oswego St
Palm Beach Atl | Rollins
W Texas A&M | Permian Basin
PSU-Behrend | Pitt-Greensburg
SUNYIT | PSU-Abington
Willamette | Puget Sound
Purchase | St Josephs LI
Queens NC | Tusculum
Truman St | Quincy
Randolph Macon | Randolph Col
Rensselaer | Vassar
Suffolk | Rivier
Salisbury | S Virginia
SE Oklahoma | Southern Nazarene
Shepherd | Urbana
S New Hampshire | Stonehill
SUNY-Cobleskill | St Elizabeth
York PA | St Marys MD
St Vincent | Waynesburg
SUNY New Paltz | SUNY Fredonia
Washburn | SW Baptist
Wheeling Jesuit | UVA-Wise
Virginia Union | Virginia St
WI Eau Claire | WI LaCrosse
Youngstown St | WI Green Bay
WI Platteville | WI River Falls
WI Whitewater | WI Stout
Wittenberg | Wooster
WV State | WV Wesleyan
Seattle Pacific | AK Fairbanks
Allegheny | Denison
UT Arlington | Appalachian St
N England Col | Becker
Boise St | San Jose St
Campbell | SC Upstate
Wyoming | Colorado St
Dartmouth | Columbia
CS Fullerton | UC Riverside
Dayton | Rhode Island
N Dakota St | Denver
DePaul | Xavier
Swarthmore | Dickinson
Fresno St | UNLV
Georgian Court | Nyack
IL Chicago | IUPUI
TCU | Iowa St
Lehigh | Navy
Miami OH | Ohio
WKU | North Texas
OK City | TX Wesleyan
Yale | Penn
San Diego St | Utah St
Texas | West Virginia
St Marys MN | Macalester
Alabama | Vanderbilt
Kansas St | Baylor
Long Beach St | Cal Poly
Central Conn | Robert Morris
Duquesne | Fordham
Mississippi | Georgia
Southern Miss | Louisiana Tech
Loy Marymount | Portland
Marquette | Villanova
Rice | Marshall
NC Central | MD E Shore
Michigan St | Minnesota
Mt St Marys | Sacred Heart
N Kentucky | Oakland
Pepperdine | San Diego
Providence | St Johns
San Francisco | Santa Clara
VA Commonwealth | St Bonaventure
TN Martin | Tennessee Tech
UC Davis | UC Santa Barbara
St Martins | AK Anchorage
Albertus Magnus | Lasell
Troy | Arkansas St
LSU | Auburn
Edinboro | California PA
Kentucky St | Central St OH
UNC Greensboro | Chattanooga
CS San Bern. | UC San Diego
